iyear,count
1970,20
1971,13
1972,24
1973,27
1974,28
1975,35
1976,50
1977,40
1978,19
1979,17
1980,20
1981,31
1982,29
1983,5
1984,21
1985,53
1986,46
1987,19
1988,14
1989,21
1990,9
