iyear,count
1970,1
1974,1
1975,1
1977,5
1978,76
1979,206
1980,35
1981,47
1982,63
1983,299
1984,302
1985,258
1986,171
1987,223
1988,62
1989,21
1990,15
1991,80
1992,30
1994,19
1995,18
1996,26
1997,7
1999,1
2000,1
2014,2
2018,7
2019,3
2020,3
