iyear,count
1973,1
1979,6
1980,16
1981,17
1982,34
1983,29
1984,12
1985,9
1986,8
1987,20
1988,21
1989,29
1990,13
1991,21
1992,12
1994,6
1995,12
1996,19
1997,22
2002,1
2004,1
2009,8
2011,1
2013,2
2014,1
2016,1
2017,1
2019,5
2020,2
