iyear,imonth,count
1994,7,1
1995,5,1
1995,10,2
1996,8,1
1996,10,1
1996,11,1
1997,1,1
1997,11,1
1997,12,2
2001,8,1
2003,1,1
2008,6,2
2009,7,1
2011,9,1
2013,1,1
2014,1,1
2014,6,1
2014,8,1
2014,11,2
2015,6,2
2015,7,2
2016,2,1
2016,8,1
2017,6,1
2017,7,1
2017,8,1
