iyear,count
1970,1
1971,2
1974,1
1976,1
1977,1
1978,3
1979,14
1980,35
1981,5
1982,27
1983,27
1984,14
1985,13
1986,4
1987,14
1988,11
1989,40
1990,11
1991,28
1992,38
1994,8
1995,2
1996,1
1997,4
2003,1
2005,1
2007,3
2009,3
2012,1
2018,2
2019,1
2020,9
