iyear,imonth,count
1974,11,1
1977,10,1
1978,6,1
1979,9,1
1979,12,1
1980,7,1
1981,3,2
1981,4,1
1983,9,1
1985,3,1
1985,4,1
1986,1,1
1989,6,1
1992,8,1
1995,6,1
1995,12,1
2010,7,1
2010,10,1
2013,9,1
2014,12,2
