imonth,1992,2002,2017,2018,2019
5,30.0,0.0,0.0,0.0,0.0
8,0.0,1.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,2.0,0.0,0.0,0.0,0.0
