iyear,count
1975,1
1976,2
1978,8
1979,31
1980,2
1982,2
1983,5
1984,24
1985,8
1986,1
1987,7
1988,17
1989,11
1990,2
1991,1
1994,1
1999,1
2000,21
2001,6
