iyear,count
1970,12
1971,81
1972,292
1973,189
1974,203
1975,194
1976,194
1977,140
1978,100
1979,239
1980,134
1981,142
1982,95
1983,177
1984,145
1985,67
1986,95
1987,117
1988,180
1989,163
1990,147
1991,262
1992,274
1994,256
1995,22
1996,36
1997,78
1998,63
1999,76
2000,61
2001,94
2002,21
2003,23
2004,5
2005,29
2006,6
2007,24
2008,39
2009,23
2010,57
2011,47
2012,54
2013,136
2014,104
2015,114
2016,104
2017,123
2018,101
2019,85
2020,90
