iyear,count
1972,1
1974,1
1975,1
1976,1
1978,1
1980,4
1981,3
1982,1
1983,7
1984,1
1985,2
1986,1
1987,12
1988,4
1991,5
1992,15
1994,2
1997,2
2001,2
2002,1
2003,3
2005,2
2011,1
2015,1
2016,2
