iyear,count
1974,4
1975,2
1976,2
1977,3
1978,1
1979,28
1980,33
1981,41
1982,20
1983,1
1984,1
1985,1
1986,4
1989,1
1996,2
1997,1
1998,1
2004,1
2006,1
2008,1
2011,49
2012,180
2013,287
2014,333
2015,491
2016,474
2017,250
2018,235
2019,293
2020,256
