iyear,count
1970,3
1971,1
1972,1
1973,1
1974,2
1975,4
1976,3
1977,6
1978,3
1979,3
1980,1
1981,1
1982,2
1983,2
1984,1
1985,4
1986,14
1987,1
1988,4
1989,5
1990,6
1991,8
1992,12
1994,3
1995,7
1996,6
1997,1
1999,1
2000,1
2001,1
2002,2
2003,3
2004,1
2008,1
2009,1
2010,1
2011,2
2014,1
2015,3
2016,6
2017,1
2018,6
2019,4
2020,37
