iyear,count
1992,3
1994,2
1995,7
1996,2
1997,1
2000,2
2001,1
2002,1
2004,1
2005,1
2006,3
2007,1
2010,7
2011,3
2012,16
2013,4
2014,1
2015,4
2016,1
2017,13
2018,2
2019,1
2020,4
