iyear,count
1981,1
1986,1
1991,4
1992,1
1994,1
1996,1
2000,1
2001,1
2006,1
2007,1
2008,2
2009,5
2010,13
2011,3
2012,4
2013,21
2014,94
2015,49
2016,38
2017,43
2018,46
2019,15
2020,36
