iyear,count
1977,1
1978,2
1981,1
1984,2
1985,2
1986,4
1989,2
1990,3
1991,7
1992,4
1994,5
1995,24
1996,65
1997,27
1998,3
1999,60
2000,101
2001,106
2002,43
2003,18
2004,17
2005,15
2006,10
2007,2
2008,13
2009,19
2010,4
2011,21
2012,39
2013,32
2014,35
2015,29
2016,19
2017,27
2018,43
2019,26
2020,19
