iyear,count
1973,3
1974,3
1975,2
1977,4
1978,4
1979,3
1980,64
1981,149
1982,350
1983,536
1984,592
1985,352
1986,568
1987,627
1988,355
1989,630
1990,495
1991,658
1992,383
1994,91
1995,44
1996,42
1997,58
1998,5
1999,5
2000,3
2001,3
2002,2
2003,1
2004,3
2005,2
2006,1
2007,4
2008,1
2009,4
2012,9
2013,13
2014,12
2015,10
2016,4
2017,8
2018,5
2019,1
2020,2
