iyear,count
1991,3
1992,18
1994,33
1995,17
1996,15
1997,33
1998,9
2000,1
2001,2
2005,1
2008,1
2009,1
2010,8
2011,2
2012,6
2013,4
2014,2
2016,1
2017,2
2018,5
2019,3
2020,1
