iyear,count
1970,3
1971,1
1972,3
1973,2
1974,3
1975,3
1976,4
1977,4
1978,3
1979,6
1980,7
1981,13
1982,6
1983,3
1984,1
1985,7
1987,1
1988,4
1990,1
1991,2
1992,6
1995,5
1996,4
1997,1
1998,1
1999,2
2000,4
2001,2
2003,1
2007,2
2011,3
2013,2
2016,2
2018,1
2019,1
2020,2
