iyear,count
1982,2
1984,1
1990,5
1991,3
1992,2
1994,2
1995,2
1996,12
1997,3
1998,2
1999,1
2000,2
2001,1
2002,1
2008,2
2011,2
2012,2
2013,3
2014,1
2015,2
2016,1
2018,1
2020,1
