iyear,count
1991,2
1992,1
1994,10
1995,2
1996,3
1997,2
1999,6
2000,1
2002,3
2003,1
2007,1
2008,1
2009,2
2010,4
2011,3
2012,8
2013,5
2014,896
2015,638
2016,62
2017,62
2018,36
2019,31
2020,38
