iyear,count
1973,1
1976,2
1979,19
1980,1
1982,2
1983,4
1987,1
1988,23
1989,24
1990,9
1991,22
1992,12
1994,8
1995,12
1996,13
1997,35
1999,4
2001,3
2002,4
2003,9
2004,2
2005,8
2006,2
2007,3
2008,20
2009,14
2010,11
2011,2
2012,17
2013,18
2014,16
2015,37
2016,74
2017,116
2018,40
2019,90
2020,65
