iyear,count
1974,1
1982,1
1983,1
1986,2
1988,8
1989,1
1990,3
1991,6
1992,3
1994,2
1995,4
1996,1
2001,1
2003,1
2006,1
2015,1
2016,1
2018,1
2019,1
