iyear,count
1977,1
1979,1
1984,2
1985,2
1986,1
1988,1
1989,3
1991,2
1994,2
1995,3
1996,1
2000,5
2001,3
2002,2
2003,8
2004,17
2005,1
2006,3
2007,1
2009,3
2011,2
2012,6
2013,6
2014,14
2015,104
2016,134
2017,57
2018,94
2019,43
2020,60
