iyear,count
1977,1
1978,2
1979,3
1981,1
1982,2
1983,7
1984,11
1985,6
1986,5
1987,3
1988,12
1989,12
1990,205
1991,16
1992,50
1994,9
1995,10
1996,4
1997,7
1998,20
1999,34
2000,22
2001,40
2002,6
2009,1
2010,2
2016,2
2017,6
2019,1
2020,1
