eventid,country_txt,latitude,longitude,nkill,summary,targtype1_txt,gname
197700000001,Japan,35.689125,139.747742,,,Educational Institution,Tribal Battlefront
197700000002,Japan,35.689125,139.747742,,,Business,Tribal Battlefront
197700000003,Japan,35.689125,139.747742,,,Educational Institution,Tribal Battlefront
197700000004,France,43.492949,-1.474841,0.0,,Journalists & Media,Basque Rectitudes
197700000005,France,43.492949,-1.474841,0.0,,Business,Basque Rectitudes
197701000001,Spain,43.066466,-2.489145,1.0,,Military,Basque Fatherland and Freedom (ETA)
197701000002,Italy,44.407062,8.933989,,,Business,Red Brigades
197701000003,Spain,40.465595,-3.696263,0.0,,Journalists & Media,First of October Antifascist Resistance Group (GRAPO)
197701010001,Italy,40.922512,9.486855,0.0,,Military,Unknown
197701010002,Italy,41.890961,12.490069,0.0,,Telecommunication,Red Brigades
197701010003,Italy,41.214436,9.407588,0.0,,Military,Armed Proletarian Power
197701010004,Italy,41.214436,9.407588,0.0,,Military,Armed Proletarian Power
197701010005,Italy,41.214436,9.407588,0.0,,Military,Armed Proletarian Power
197701010006,Italy,41.214436,9.407588,0.0,,Military,Armed Proletarian Power
197701010007,Italy,41.214436,9.407588,0.0,,Military,Armed Proletarian Power
197701010008,United Kingdom,54.077313,-6.608787,1.0,,Military,Irish Republican Army (IRA)
197701010009,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Irish Republican Army (IRA)
197701010011,United Kingdom,54.077313,-6.608787,1.0,,Military,Irish Republican Army (IRA)
197701030001,Colombia,4.667128,-74.106056,0.0,,Airports & Aircraft,Unknown
197701030002,United States,18.386932,-66.061127,0.0,"01/03/1977: Police officers defused two time bombs at the ROTC building at the University of Puerto Rico in San Juan, Puerto Rico, fifteen minutes before the bombs were set to explode. Though the perpetrator(s) are unknown, this incident is suspected to have coincided with the statehood controversy and the swearing in of Puerto Rico's new Governor, Carlos Romero Barcelo, who had been receiving threats that a bomb campaign would coincide with the new administration. The Lolita Lebron Puerto Rican Liberation Command claimed credit for this incident.",Educational Institution,Lolita Lebron Puerto Rican Liberation Command
197701040001,France,48.856644,2.34233,1.0,,Terrorists/Non-State Militia,Unknown
197701040002,Spain,43.258434,-2.921819,0.0,,Business,Basque Fatherland and Freedom (ETA)
197701040003,West Germany (FRG),50.775439,6.08151,,,Business,Unknown
197701040004,West Germany (FRG),51.213924,6.780691,,,Business,Unknown
197701040005,West Germany (FRG),52.372068,9.735686,,,Business,Unknown
197701040006,West Germany (FRG),50.583753,8.677741,0.0,,Military,Revolutionary Cells
197701040007,Greece,37.99749,23.762728,0.0,,Business,First of October Antifascist Resistance Group (GRAPO)
197701040008,Spain,28.124824,-15.430008,0.0,,Airports & Aircraft,Canary Islands Independence Movement
197701050001,Switzerland,47.557421,7.592573,0.0,,Government (General),Unknown
197701050002,Spain,43.143332,-2.962985,0.0,,Business,Basque Fatherland and Freedom (ETA)
197701050003,Spain,43.220496,-2.733236,0.0,,Private Citizens & Property,Basque Fatherland and Freedom (ETA)
197701060001,Austria,48.208174,16.373819,,,Government (Diplomatic),Unknown
197701060002,Bangladesh,22.341896,91.815117,0.0,,Government (Diplomatic),Unknown
197701070001,United States,25.774591,-80.214195,1.0,,Terrorists/Non-State Militia,Unknown
197701080001,West Germany (FRG),,,0.0,,Transportation,Baader-Meinhof Group
197701080002,West Germany (FRG),50.11797,8.644191,0.0,,Transportation,Revolutionary Cells
197701090002,United Kingdom,54.184008,-7.360209,1.0,,Military,Irish Republican Army (IRA)
197701100001,Spain,40.465595,-3.696263,,,Business,Unknown
197701110001,Austria,48.208174,16.373819,0.0,,Government (Diplomatic),Unknown
197701110002,Italy,41.890961,12.490069,0.0,,Violent Political Party,New Partisans Movement
197701110004,United Kingdom,54.607712,-5.95621,1.0,,Military,Irish Republican Army (IRA)
197701140003,United Kingdom,54.874117,-6.469736,1.0,,Police,Irish Republican Army (IRA)
197701150001,People's Republic of the Congo,-5.024875,12.346388,0.0,,Transportation,Front for the Liberation of the Enclave of Cabinda (FLEC)
197701160001,West Germany (FRG),50.11797,8.644191,0.0,,Transportation,Anti-Government Group
197701160002,Mexico,19.371887,-99.086624,4.0,,Business,Unknown
197701170001,Mexico,19.371887,-99.086624,2.0,,Police,23rd of September Communist League
197701170002,People's Republic of the Congo,,,,,Business,Front for the Liberation of the Enclave of Cabinda (FLEC)
197701190002,United States,40.697132,-73.931351,0.0,,Government (General),Independent Armed Revolutionary Commandos (CRIA)
197701190004,Austria,48.208174,16.373819,0.0,,Transportation,Unknown
197701190006,Italy,44.49419,11.346518,0.0,,Private Citizens & Property,Unknown
197701190007,United States,18.220833,-66.590149,0.0,,Government (General),Independent Armed Revolutionary Commandos (CRIA)
197701190008,United States,40.697132,-73.931351,0.0,,Government (General),Independent Armed Revolutionary Commandos (CRIA)
197701190009,United States,40.697132,-73.931351,0.0,,Police,Independent Armed Revolutionary Commandos (CRIA)
197701200001,Mexico,19.371887,-99.086624,2.0,,Business,23rd of September Communist League
197701200002,West Germany (FRG),53.553813,9.991586,0.0,,Business,Unknown
197701200003,Angola,-5.433869,12.21505,,,Utilities,Front for the Liberation of the Enclave of Cabinda (FLEC)
197701210001,Netherlands,,,0.0,,Business,Unknown
197701210002,Turkey,39.930771,32.76754,0.0,,Business,Turkish People's Liberation Front (TPLF)(THKP-C)
197701210004,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Irish Republican Army (IRA)
197701210005,United Kingdom,54.706718,-7.592867,1.0,,Private Citizens & Property,Ulster Freedom Fighters (UFF)
197701220001,Austria,48.208174,16.373819,1.0,,Private Citizens & Property,Waltraud Boock Group
197701220002,United States,38.042973,-122.788899,0.0,,Utilities,New World Liberation Front (NWLF)
197701220003,United States,37.859245,-122.488589,0.0,,Utilities,New World Liberation Front (NWLF)
197701220004,United Kingdom,54.607712,-5.95621,2.0,,Private Citizens & Property,Protestant extremists
197701230002,United Kingdom,54.607712,-5.95621,1.0,,Military,Irish National Liberation Army (INLA)
197701240001,Spain,40.465595,-3.696263,9.0,,Business,Argentine Anticommunist Alliance (AAA)
197701240002,Spain,40.465595,-3.696263,0.0,,Government (General),First of October Antifascist Resistance Group (GRAPO)
197701240003,West Germany (FRG),53.553813,9.991586,0.0,,Transportation,Unknown
197701240004,West Germany (FRG),50.084284,8.238717,0.0,,Transportation,Croatian Nationalists
197701240005,West Germany (FRG),48.139126,11.580186,0.0,,Journalists & Media,Unknown
197701240006,Turkey,38.395649,27.135641,0.0,,Business,Arya
197701250002,Italy,45.072731,7.679541,0.0,,Private Citizens & Property,Unknown
197701250003,Italy,43.768732,11.256901,0.0,,Business,Unknown
197701250004,Argentina,-34.61768,-58.444435,0.0,,Business,Montoneros (Argentina)
197701250006,United States,37.755363,-122.443352,0.0,,Government (General),New World Liberation Front (NWLF)
