iyear,imonth,iday,latitude,longitude,eventid
2000,1,25,15.502404,45.449854,200001250005
2000,1,26,27.708754,85.329498,200001260001
2000,1,26,33.14575,75.548049,200001260002
2000,1,26,4.667128,-74.106056,200001260003
2000,1,26,54.783333,32.05,200001260004
2000,1,26,2.059819,45.326115,200001260005
2000,1,26,43.344167,-3.006389,200001260006
2000,1,26,41.106178,28.689863,200001260007
2000,1,26,41.106178,28.689863,200001260008
2000,1,27,8.757816,80.487907,200001270001
2000,1,27,32.726602,74.857026,200001270003
2000,1,27,28.739647,82.203988,200001270004
2000,1,27,5.183798,97.141575,200001270005
2000,1,27,-3.284203,30.60192,200001270006
2000,7,27,42.98542,47.450668,200001270007
2000,1,28,32.726602,74.857026,200001280001
2000,1,28,24.891115,67.143311,200001280004
2000,1,28,24.891115,67.143311,200001280005
2000,1,28,7.131202,-73.124973,200001280006
2000,1,0,10.201996,-73.463689,200001280007
2000,1,29,35.25881,6.34706,200001290001
2000,1,29,2.997038,32.143426,200001290002
2000,1,29,35.335611,1.228357,200001290003
2000,1,29,43.320664,-3.020252,200001290004
2000,1,29,43.258434,-2.921819,200001290005
2000,1,29,43.267454,-2.020169,200001290007
2000,1,29,32.493537,74.530343,200001290008
2000,1,29,7.027345,-71.428555,200001290009
2000,1,28,44.795541,20.284861,200001290010
2000,1,30,42.68,21.044444,200001300001
2000,1,30,4.193211,44.994213,200001300002
2000,1,30,41.106178,28.689863,200001300003
2000,1,30,43.267549,-1.975814,200001300004
2000,1,30,7.328847,80.304697,200001300006
2000,12,31,27.708754,85.329498,200001310001
2000,1,31,23.940848,91.988153,200001310002
2000,1,31,23.610792,91.445885,200001310003
2000,2,0,15.450113,36.400021,200002000001
2000,2,0,36.96786,35.261983,200002000002
2000,1,31,23.485379,91.778227,200002010001
2000,2,2,37.762545,30.554892,200002020002
2000,2,2,42.135812,21.717896,200002020003
2000,2,3,6.941837,79.861687,200002030001
2000,2,3,42.880888,20.867213,200002030002
2000,2,3,42.727325,20.724618,200002030003
2000,2,3,0.435951,-75.52767,200002030004
2000,2,3,9.069555,30.882908,200002030005
2000,2,4,0.49765,-76.49768,200002040001
2000,2,5,35.724533,51.40519,200002050001
2000,2,5,35.724533,51.40519,200002050002
2000,2,5,25.389288,68.357338,200002050004
2000,2,6,54.471741,-7.635635,200002060001
2000,2,6,34.516895,69.147011,200002060002
2000,2,7,44.818611,20.468056,200002070001
2000,2,7,48.466667,135.1,200002070002
2000,2,8,33.778175,76.576171,200002080001
2000,2,9,9.666399,80.020477,200002090001
2000,2,9,32.493683,-116.95295,200002090002
2000,2,9,34.516895,69.147011,200002090003
2000,2,10,23.055626,88.252202,200002100001
2000,2,10,6.993401,81.054981,200002100002
2000,2,10,34.135101,74.495056,200002100003
2000,2,10,41.106178,28.689863,200002100005
2000,2,10,41.106178,28.689863,200002100006
2000,2,10,41.106178,28.689863,200002100007
2000,2,11,33.353333,35.512778,200002110001
2000,2,11,43.220496,-2.733236,200002110002
2000,2,8,6.941837,79.861687,200002120001
2000,2,13,42.880888,20.867213,200002130001
2000,2,14,40.620663,22.952,200002140001
2000,2,14,2.997038,32.143426,200002140002
2000,2,15,7.204961,124.791148,200002150001
2000,2,15,5.977475,121.115015,200002150002
2000,2,15,39.905556,116.395833,200002150003
2000,2,16,6.050458,121.012245,200002160001
2000,2,16,38.552185,68.767441,200002160002
2000,2,16,-2.170832,-79.922359,200002160003
2000,2,17,34.225807,74.641022,200002170001
2000,2,17,-18.015169,20.869921,200002170002
2000,2,17,33.550434,35.370964,200002170003
2000,2,17,3.656667,-76.688333,200002170004
2000,2,18,33.963889,75.15,200002180001
2000,2,18,33.789497,75.103386,200002180002
2000,2,18,1.25525,-70.23339,200002180003
2000,2,18,13.693315,78.628397,200002180004
2000,2,18,9.52358,-75.23069,200002180005
2000,2,18,35.734162,0.752626,200002180007
2000,2,19,28.361696,82.488843,200002190001
2000,2,19,34.516895,69.147011,200002190002
2000,2,20,22.973423,78.656894,200002200001
2000,2,20,6.681959,121.985477,200002200002
2000,2,20,6.681959,121.985477,200002200003
2000,2,20,6.681959,121.985477,200002200004
2000,2,20,7.946283,-72.898807,200002200005
2000,2,20,25.92869,86.790976,200002200006
2000,2,20,-14.652279,17.684042,200002200007
2000,2,20,-14.652208,17.683669,200002200008
2000,2,20,23.843841,91.330052,200002200009
2000,2,20,-3.375828,29.364107,200002200010
2000,2,20,6.681959,121.985477,200002200011
2000,2,16,9.581058,-75.035527,200002200013
2000,2,21,42.966907,47.457636,200002210001
2000,2,21,-2.170832,-79.922359,200002210002
2000,2,21,34.113883,2.097262,200002210003
2000,2,21,13.700834,44.731569,200002210005
2000,2,21,-11.967368,-76.978462,200002210006
2000,2,22,42.84964,-2.692359,200002220001
2000,2,22,4.667128,-74.106056,200002220003
2000,2,22,12.91075,-14.950567,200002220004
2000,2,22,42.429384,21.454225,200002220005
2000,2,22,43.427011,46.087993,200002220006
2000,2,22,25.045856,84.0762,200002220007
2000,2,22,-3.30606,128.961589,200002220008
2000,2,22,35.921661,2.077964,200002220009
2000,2,22,4.667128,-74.106056,200002220010
2000,2,22,4.667128,-74.106056,200002220011
2000,2,23,43.127544,45.539974,200002230001
2000,2,23,14.71554,-17.270929,200002230002
2000,2,23,4.957778,96.949722,200002230003
2000,2,24,23.013072,91.394048,200002240001
2000,2,24,4.667128,-74.106056,200002240002
2000,2,24,4.667128,-74.106056,200002240003
2000,2,24,4.667128,-74.106056,200002240004
2000,2,24,4.667128,-74.106056,200002240005
2000,2,24,4.667128,-74.106056,200002240006
2000,2,24,4.667128,-74.106056,200002240007
2000,2,24,36.461777,2.744692,200002240008
2000,2,25,55.043617,-7.023927,200002250001
2000,2,25,35.947979,2.114687,200002250002
2000,2,25,36.716365,4.049834,200002250003
2000,2,25,54.42071,-6.443767,200002250004
2000,2,25,8.115408,123.896522,200002250005
2000,2,24,36.146913,1.50603,200002250006
2000,2,25,37.548148,-121.988566,200002250007
2000,2,26,8.345185,80.388133,200002260001
2000,2,26,35.855278,1.332222,200002260002
2000,2,26,7.083241,125.600998,200002260003
2000,2,27,-17.819342,23.953647,200002270001
2000,2,27,28.585836,77.153336,200002270002
2000,2,27,43.311307,-1.900896,200002270003
2000,2,27,29.786285,79.314867,200002270004
2000,2,27,42.267498,2.96084,200002270005
2000,2,27,7.209594,124.241966,200002270006
2000,2,27,-17.819342,23.953647,200002270007
2000,2,28,17.497713,-88.186654,200002280001
2000,2,29,42.747766,20.792708,200002290001
2000,2,29,42.678199,21.172562,200002290002
2000,3,1,33.396389,35.707778,200003010001
2000,3,1,36.338889,2.715,200003010002
2000,3,1,15.325443,44.211895,200003010003
2000,3,1,40.441604,-79.872155,200003010004
2000,3,1,40.441604,-79.872155,200003010005
2000,3,1,40.441604,-79.872155,200003010006
2000,3,1,40.441604,-79.872155,200003010007
2000,3,2,36.56522,3.153934,200003020001
2000,3,2,43.320229,45.654491,200003020002
2000,3,2,23.791275,90.418205,200003020003
2000,3,1,9.666399,80.020477,200003020004
2000,3,3,9.860086,124.007877,200003030001
2000,3,3,30.615375,76.362281,200003030002
2000,3,4,36.587152,2.44311,200003040001
2000,3,4,25.96977,84.359717,200003040002
2000,3,4,26.719955,84.463206,200003040003
2000,3,4,33.324167,35.531944,200003040004
2000,3,4,41.400635,2.150913,200003040005
2000,3,4,41.400635,2.150913,200003040006
2000,3,4,2.771679,32.288421,200003040007
2000,3,5,40.620663,22.952,200003050001
2000,3,5,37.99749,23.762728,200003050002
2000,3,5,33.778175,76.576171,200003050003
2000,3,5,6.975556,-75.625,200003050004
2000,3,6,36.198573,2.110527,200003060001
2000,3,6,43.291618,-1.977903,200003060002
2000,3,7,-8.930556,125.396667,200003070001
2000,3,7,17.45252,78.683477,200003070002
2000,3,7,27.516807,95.6146,200003070003
2000,3,7,42.880888,20.867213,200003070004
2000,3,8,36.296387,3.66993,200003080002
2000,3,9,2.116667,-76.983333,200003090001
2000,3,10,6.910912,79.887803,200003100001
2000,3,10,24.891115,67.143311,200003100002
2000,3,11,48.057315,-1.148312,200003110001
2000,3,11,25.802255,85.556063,200003110002
2000,3,11,43.678773,19.028091,200003110003
2000,3,11,39.930771,32.76754,200003110004
2000,3,12,44.86668,17.666809,200003120001
2000,3,12,35.724533,51.40519,200003120002
2000,3,12,-4.022609,30.019763,200003120003
2000,3,12,43.557135,-90.888714,200003120004
2000,3,12,36.417744,1.195033,200003120005
2000,3,13,35.724533,51.40519,200003130001
2000,3,13,36.535577,3.834176,200003130002
2000,3,13,36.54178,3.081,200003130003
2000,3,14,6.242026,-75.564766,200003140001
2000,3,14,33.538588,74.369286,200003140002
2000,3,14,42.583636,22.143022,200003140003
2000,3,14,6.520917,3.379534,200003140004
2000,3,15,3.429344,-76.516037,200003150001
2000,3,15,7.086218,124.901921,200003150002
2000,3,15,7.020898,125.091469,200003150003
2000,3,16,43.344167,-3.006389,200003160001
2000,3,16,-11.824142,17.09711,200003160002
2000,3,16,36.742386,3.722816,200003160003
2000,3,16,28.585836,77.153336,200003160004
2000,3,16,12.538409,-85.573921,200003160005
2000,3,17,4.40464,-74.38643,200003170001
2000,3,17,0.066857,30.065281,200003170002
2000,3,18,8.190899,124.087955,200003180001
2000,3,18,34.08374,74.789902,200003180002
2000,3,18,36.113234,2.303522,200003180003
2000,3,20,31.530243,35.094162,200003200001
2000,3,20,34.89638,3.48543,200003200002
2000,3,21,43.258434,-2.921819,200003210001
2000,3,21,33.778175,76.576171,200003210002
2000,3,0,11.756356,79.763486,200003210003
2000,3,22,36.635072,3.590128,200003220001
2000,3,22,4.845447,-74.622546,200003220002
2000,3,22,5.026003,-74.030012,200003220003
2000,3,22,-6.227412,15.467184,200003220004
2000,3,22,41.222365,-111.970459,200003220005
2000,3,22,39.829805,46.759851,200003220006
2000,3,22,36.546944,4.333836,200003220008
2000,3,23,33.134167,35.332778,200003230001
2000,3,24,31.866771,75.339792,200003240001
2000,3,25,44.39694,18.96639,200003250001
2000,3,25,43.036248,-2.504542,200003250002
2000,3,25,43.291618,-1.977903,200003250003
2000,3,25,43.320698,-2.420475,200003250004
2000,3,25,33.335061,-111.876318,200003250005
2000,3,26,6.443891,-76.688315,200003260001
2000,3,26,4.29692,-74.80707,200003260002
2000,3,27,9.661389,80.358889,200003270001
2000,3,27,8.005377,79.84368,200003270002
2000,3,27,53.183333,158.383333,200003270003
2000,3,27,42.98542,47.450668,200003270004
2000,3,28,34.120224,71.101242,200003280001
2000,3,28,27.04869,85.313622,200003280002
2000,3,29,42.932856,46.256568,200003290001
2000,3,30,4.598333,-74.441389,200003300001
2000,3,30,-0.357847,42.54665,200003300003
2000,3,31,28.091574,84.537946,200003310001
2000,3,31,5.183798,97.141575,200003310002
2000,4,1,5.183798,97.141575,200004010001
2000,4,1,43.3282,-3.031509,200004010002
2000,4,1,49.846226,2.268329,200004010003
2000,4,1,36.919552,3.891396,200004010004
2000,4,1,36.85583,3.85667,200004010005
2000,4,1,34.752182,8.058859,200004010006
2000,4,1,34.786389,-0.341944,200004010007
2000,4,1,36.81694,3.85722,200004010008
2000,4,1,12.825647,44.846416,200004010009
2000,4,2,36.714444,3.341944,200004020001
2000,4,2,27.708754,85.329498,200004020002
2000,4,3,37.99749,23.762728,200004030001
2000,4,3,37.99749,23.762728,200004030002
2000,4,3,37.99749,23.762728,200004030003
2000,4,3,39.930771,32.76754,200004030004
2000,4,3,18.527716,-72.33284,200004030005
2000,4,3,39.176086,-94.574127,200004030006
2000,4,3,9.337295,-73.653621,200004030007
2000,4,4,36.161648,0.969065,200004040001
2000,4,4,8.6325,81.11,200004040002
2000,4,5,17.376812,78.487812,200004050001
2000,4,5,25.389288,68.357338,200004050002
2000,4,6,55.011562,-7.312045,200004060001
2000,4,6,8.63781,-72.73464,200004060002
2000,4,7,33.594013,73.069077,200004070001
2000,4,7,31.50547,74.34288,200004070002
2000,4,7,4.827794,7.053577,200004070003
2000,4,7,33.851601,35.511871,200004070004
2000,4,9,7.785306,122.592856,200004090001
2000,4,9,7.51237,122.362581,200004090002
2000,4,9,33.44826,-112.075774,200004090003
2000,4,9,23.940848,91.988153,200004090004
2000,4,9,23.940848,91.988153,200004090005
2000,4,9,23.934847,92.277519,200004090006
2000,4,9,23.940848,91.988153,200004090007
2000,4,9,23.940848,91.988153,200004090008
2000,4,10,18.225291,-73.822056,200004100002
2000,4,9,23.790546,91.469337,200004100003
2000,4,11,7.07386,-75.14591,200004110001
2000,4,11,3.429344,-76.516037,200004110002
2000,4,11,3.429344,-76.516037,200004110003
2000,4,11,3.429344,-76.516037,200004110004
2000,4,11,3.429344,-76.516037,200004110005
2000,4,11,3.429344,-76.516037,200004110006
2000,4,11,36.266667,2.216667,200004110007
2000,4,12,44.818611,20.468056,200004120001
2000,4,12,-18.271048,18.427605,200004120002
2000,4,12,34.025935,74.797458,200004120003
2000,4,12,32.222559,74.450203,200004120004
2000,4,12,12.858529,120.909917,200004120005
2000,4,12,37.99749,23.762728,200004120006
2000,4,12,3.429344,-76.516037,200004120007
2000,4,13,54.238631,-7.170908,200004130001
2000,4,13,36.573333,2.675278,200004130002
2000,4,13,9.33692,-74.48104,200004130003
2000,4,14,37.067631,37.37315,200004140001
2000,4,14,28.326153,82.703591,200004140002
2000,4,14,5.52372,5.753167,200004140003
2000,4,14,26.172735,-80.131209,200004140004
2000,4,15,36.86252,3.88151,200004150001
2000,4,15,8.486803,124.645818,200004150002
