iyear,count
1970,9
1971,5
1972,7
1973,1
1976,1
1980,1
1981,2
1982,1
1983,7
1984,5
1988,1
1990,3
1991,11
1992,2
1994,6
1995,3
1996,2
1997,3
1998,1
1999,2
2000,2
2001,2
2002,2
2005,4
2006,1
2010,2
2012,2
2013,1
2014,3
2015,4
2016,11
2017,8
2018,2
2019,4
