iyear,count
1990,1
1991,12
1992,3
1994,13
1995,1
1997,3
2005,1
2007,5
2008,9
2009,6
2010,1
2011,4
2012,19
2013,58
2014,69
2015,121
2016,100
2017,142
2018,164
2019,139
2020,138
