iyear,count
1973,1
1979,3
1987,1
1988,11
1989,10
1990,2
1991,30
1992,36
1994,9
1995,6
1996,4
1997,1
1998,1
1999,9
2000,14
2001,14
2002,38
2003,100
2004,88
2005,155
2006,283
2007,342
2008,414
2009,503
2010,542
2011,421
2012,1469
2013,1443
2014,1824
2015,1928
2016,1616
2017,1415
2018,1777
2019,1806
2020,2604
