iyear,count
1973,1
1981,1
1982,3
1983,3
1984,5
1986,6
1987,1
1988,10
1989,8
1990,1
1991,3
1992,7
1994,5
1995,4
1996,10
1997,3
1999,5
2000,7
2001,9
2002,13
2004,5
2005,6
2006,24
2007,23
2008,32
2009,26
2010,28
2011,38
2012,40
2013,46
2014,157
2015,158
2016,173
2017,106
2018,42
2019,26
2020,33
